nodeid,lat,long
1,40.7614,-73.9641
2,40.7831,-73.978
3,40.7604,-73.9615
4,40.7097,-73.9436
5,40.7617,-73.9869
6,40.7743,-73.8732
7,40.7581,-73.9658
8,40.702,-74.0104
9,40.8219,-73.955
10,40.8084,-73.9509
11,40.7188,-73.9946
12,40.7345,-73.9865
13,40.7602,-73.9949
14,40.7267,-73.9906
15,40.7478,-74.0044
16,40.7616,-73.9997
17,40.7873,-73.9541
18,40.7623,-73.9629
19,40.6844,-73.9972
20,40.6928,-73.9909
21,40.752,-73.9704
22,40.7286,-74.0053
23,40.7272,-74.0002
24,40.7108,-73.9622
25,40.7832,-73.9533
26,40.7626,-73.9631
27,40.7369,-73.9785
28,40.7504,-73.9832
29,40.7212,-73.9945
30,40.7081,-73.9428
31,40.7294,-74.0069
32,40.7089,-73.998
33,40.7974,-73.9701
34,40.7864,-73.9797
35,40.7322,-73.9919
36,40.7351,-73.9835
37,40.7665,-73.9783
38,40.75,-73.9913
39,40.7854,-73.9536
40,40.7935,-73.9668
41,40.7055,-74.0077
42,40.7779,-73.9475
43,40.774,-73.8712
44,40.7126,-73.8957
45,40.748,-73.9874
46,40.7508,-73.9709
47,40.6465,-73.7772
48,40.7769,-73.9556
49,40.676,-73.9839
50,40.6742,-73.979
51,40.7934,-73.9729
52,40.81,-73.9529
53,40.7478,-73.9738
54,40.7436,-73.9839
55,40.756,-73.9616
56,40.7631,-73.9802
57,40.757,-73.9984
58,40.7413,-73.9814
59,40.7595,-73.9716
60,40.7684,-73.9867
61,40.7427,-73.9826
62,40.7796,-73.9538
63,40.7358,-73.9938
64,40.7408,-74.0077
65,40.7565,-73.9701
66,40.7587,-73.97
67,40.7736,-73.9816
68,40.8093,-73.9591
69,40.7617,-73.9902
70,40.7465,-73.9913
71,40.7437,-73.9736
72,40.7197,-73.9894
73,40.7629,-73.9712
74,40.7412,-73.996
75,40.8312,-73.9471
76,40.781,-73.9814
77,40.7614,-73.9882
78,40.7741,-73.871
79,40.7183,-74.0105
80,40.7743,-73.8726
81,40.756,-73.976
82,40.7458,-73.998
83,40.7553,-73.9734
84,40.7315,-74.0012
85,40.7683,-73.9823
86,40.7524,-73.9733
87,40.7455,-73.9778
88,40.7045,-74.0092
89,40.7858,-73.9765
90,40.79,-73.9695
91,40.7529,-73.9664
92,40.7508,-73.991
93,40.7604,-73.9784
94,40.7543,-73.979
95,40.7666,-73.9822
96,40.7718,-73.9595
97,40.7803,-73.9548
98,40.7987,-73.9736
99,40.7636,-73.9925
100,40.757,-73.9887
101,40.7583,-73.9775
102,40.7251,-73.9529
103,40.7308,-74.0043
104,40.7218,-74.0098
105,40.7317,-73.9855
106,40.6978,-73.9856
107,40.7739,-73.8712
108,40.7645,-73.9798
109,40.7766,-73.9762
110,40.7593,-73.9632
111,40.7438,-74.006
112,40.7368,-73.9998
113,40.7105,-74.0154
114,40.7484,-73.9961
115,40.7713,-73.9815
116,40.7848,-73.956
117,40.7914,-73.9389
118,40.7628,-73.9655
119,40.7528,-73.9815
120,40.7716,-73.9532
121,40.7803,-73.9596
122,40.767,-73.9684
123,40.7752,-73.9537
124,40.7698,-73.9529
125,40.7261,-73.9915
126,40.7166,-74.0084
127,40.7941,-73.9702
128,40.7865,-73.9794
129,40.7259,-73.9947
130,40.7667,-73.9628
131,40.7226,-73.9878
132,40.6501,-74.0125
133,40.7454,-73.9888
134,40.7725,-73.959
135,40.7064,-74.0058
136,40.783,-73.9573
137,40.7252,-73.9951
138,40.7239,-73.9921
139,40.7448,-73.9856
140,40.7234,-73.9884
141,40.7566,-73.9728
142,40.7562,-73.9871
143,40.7718,-73.9825
144,40.7569,-73.9851
145,40.7835,-73.9706
146,40.8039,-73.9668
147,40.7559,-73.9913
148,40.7507,-74.0033
149,40.7521,-74.0046
150,40.7439,-73.9951
151,40.7501,-73.9915
152,40.723,-73.9984
153,40.7513,-73.9979
154,40.7608,-73.9946
155,40.7438,-73.9889
156,40.6862,-73.9941
157,40.7756,-73.9476
158,40.762,-73.9595
159,40.7731,-73.9493
160,40.7556,-73.9843
161,40.7409,-73.9901
162,40.7261,-73.9962
163,40.7211,-73.9934
164,40.7303,-73.9914
165,40.7356,-73.9899
166,40.7146,-73.9929
167,40.7512,-73.9909
168,40.7672,-73.9862
169,40.5877,-73.951
170,40.729,-73.9982
171,40.7485,-73.9888
172,40.7684,-73.9555
173,40.7263,-73.9893
